Gene	B cells	T cells CD4	T cells CD8	T cells follicular helper
ACBD3	853.4086104	348.3769339	368.0075604	455.8183805
ACBD4	96.12883849	123.0757318	114.4558339	130.3403732
ACBD5	626.6038547	440.5037945	433.8843669	432.4099017
ACBD6	225.6986198	135.6354193	147.6927356	211.834232
ACCS	186.4134663	133.702511	134.4387511	201.4171734
ACD	189.9082417	356.7909353	340.8984067	498.3470989
ACE	19.5585136	20.32537073	20.7736659	18.51849937
ACE2	11.51946846	11.9356786	12.98373762	10.8060599
ACER1	21.92725953	30.20754846	25.09896904	37.5273598
ACER3	72.89218606	49.42316907	47.48257333	37.26090345
ACHE	17.29155609	16.02601295	16.92725441	18.7728763
ACIN1	127.3032829	188.4993311	173.0143553	350.6930476
ACKR2	28.1201089	32.74515993	29.48103338	25.75122267
ACKR3	113.5990521	69.12597697	47.31406216	29.52750281
ACLY	327.2859896	345.5655642	360.9715862	291.1439576
ACMSD	11.12805319	11.2657742	13.70415877	14.16982002
ACN9	135.4151238	140.5773697	107.9248993	105.5082608
ACO1	72.55835847	58.73138276	49.63737515	64.27322087
ACO2	311.8354881	399.1940738	334.8654769	257.3293853
ACOT11	29.19883148	30.83165526	35.65349943	26.51544921
ACOT12	11.43910723	11.91948803	14.54730081	9.24349872
ACOT13	186.0118537	156.3233941	152.2236528	222.1370669
ACOT4	27.23351437	36.8332353	65.57618683	40.61962654
ACOT6	11.44019952	11.8468765	12.33514935	11.25711524
ACOT7	83.86086492	149.5723509	120.5442417	104.798554
ACOT8	216.0491688	195.8562154	195.2015047	255.4111758
ACOT9	278.8576661	246.4262488	257.3146445	170.9886864
ACOX1	131.4161056	95.93722032	104.0311087	75.72168658
ACOX2	16.17131513	16.24525475	15.47808656	13.64633214
ACOX3	105.0183809	99.78905229	106.6980133	94.51270485
ACOXL	62.19587758	49.01001164	51.68103954	51.78131913
ACP1	619.2546721	505.8146128	494.0517808	394.7832434
ACP2	85.10112004	128.076268	109.8287989	117.2194594
ACP5	360.121785	185.4798783	181.2400643	321.197091
ACP6	150.8076821	143.6411563	127.6618277	129.9715565
ACPL2	40.6052537	181.4890506	250.9985652	194.8398856
ACPP	13.77331812	14.92402222	15.06780085	13.57668774
ACPT	98.53104284	67.47238285	67.22723727	104.8685012
ACRBP	36.80722368	29.18423248	32.70463675	40.14351906
ACRC	72.99906477	47.61746206	82.35398226	139.6230071
ACRV1	17.37612634	19.99218767	20.61416673	17.21854222
ACSBG1	19.57311083	21.84207392	20.95048966	19.67302734
ACSBG2	15.89201732	16.91591138	17.67594843	17.02127872
ACSF2	110.9721261	74.82706038	67.54114878	68.18732436
ACSF3	78.96051936	50.18522855	61.79134863	74.72227802
ACSL1	177.4715321	176.2935217	171.0130105	136.4791237
ACSL3	334.4811673	157.8945669	194.4464185	208.7330602
ACSL5	462.2881282	552.7980627	637.946666	302.2814936
ACSL6	13.42070916	94.67599231	96.88641623	109.2739568
ACSM1	13.73398892	11.6108986	12.2444925	12.06882706
ACSM3	16.19578006	19.4278887	20.93264143	16.47468082
ACSM5	17.07309585	20.89898106	22.12097737	15.81093966
ACSS1	283.3567068	203.9695643	290.8622371	246.9857308
ACSS2	61.45977332	98.2135706	76.87065148	76.94976863
ACSS3	15.36704051	17.07665879	16.46158802	14.91003389
ACTA1	15.01017705	15.0591255	16.30901929	14.29836342
ACTA2	137.2589636	320.293193	391.2931602	293.5974953
ACTB	5319.000003	6773.440068	6607.543096	1973.344488
ACTC1	24.26555937	24.37369175	28.38546852	27.92630548
ACTG1	15623.45699	11411.54147	11266.43933	12209.09266
ACTG2	25.72560585	47.62013311	28.77156897	30.72208418
ACTL10	66.37862857	65.42236628	74.38694703	62.10885851
ACTL6A	425.0470736	389.3569531	214.147352	265.166195
